dataset_index	dataset	metric	split	wins_floatsom	wins_xpysom	ties	win_rate_floatsom	median_delta_raw	median_pct_improvement	mean_pct_improvement	ci_low_pct	ci_high_pct	p_value	n_pairs	notes	effect_size_signed
11	s_curve	balanced_qe	both	10	0	0	1.0	-0.009985834360122708	2.9384581663456335	3.016136056902707	1.672576518008677	4.375380042883381	0.001953125	10	positive means FloatSOM is better	1.0
12	swiss_roll	balanced_qe	both	10	0	0	1.0	-0.017393134534359006	5.720911432982173	5.3327290505364235	4.0146272861700005	6.333982222194988	0.001953125	10	positive means FloatSOM is better	1.0
2	wine	balanced_qe	both	10	0	0	1.0	-0.11240698397159576	7.154800522681877	7.044225014441397	5.743377220706757	8.377193227984977	0.001953125	10	positive means FloatSOM is better	1.0
	GLOBAL	balanced_qe	both	114	26	0	0.8142857142857143	-0.060350716114044176	3.9446044814985335	4.627704338146903	3.206855613067918	4.851528579105901	1.2705001520083402e-14	140	pooled paired samples across datasets	0.6285714285714286
8	blobs	train_time	train	0	10	0	0.0	0.16727050906047225	-725.7540096878317	-726.3513379486619	-729.2883949047773	-724.0565704703181	0.001953125	10	positive means FloatSOM is better	-1.0
5	breast_cancer	train_time	train	0	10	0	0.0	0.17590521951206034	-1028.7408679514958	-1021.2214103589347	-1033.951578158887	-990.451375946575	0.001953125	10	positive means FloatSOM is better	-1.0
7	california_housing	train_time	train	0	10	0	0.0	0.1735595848876983	-959.1137382521017	-935.4773575528958	-997.3972588454478	-863.1071739467394	0.001953125	10	positive means FloatSOM is better	-1.0
9	circles	train_time	train	0	10	0	0.0	0.16829248960129922	-728.9235593093713	-729.35834781474	-734.2280428559611	-723.7248338291537	0.001953125	10	positive means FloatSOM is better	-1.0
14	covertype	train_time	train	0	10	0	0.0	0.13965812535025185	-38.003765428516644	-37.1495008850531	-41.01571071648809	-32.78590835877336	0.001953125	10	positive means FloatSOM is better	-1.0
4	diabetes	train_time	train	0	10	0	0.0	0.17420697165653118	-1029.3355937251604	-1028.755767389251	-1034.5884492436558	-1022.6478111401748	0.001953125	10	positive means FloatSOM is better	-1.0
6	digits	train_time	train	0	10	0	0.0	0.1791608426719904	-1029.181919690606	-1028.6713062465585	-1034.1959795520747	-1022.8460074272018	0.001953125	10	positive means FloatSOM is better	-1.0
1	iris	train_time	train	0	10	0	0.0	0.1717199073173106	-1030.5870879381685	-1029.7524028250232	-1035.7817694429216	-1023.3311295417825	0.001953125	10	positive means FloatSOM is better	-1.0
13	kddcup99	train_time	train	0	10	0	0.0	0.11537116370163858	-36.680329526021005	-35.34727605755007	-39.02452736166471	-32.00550578754786	0.001953125	10	positive means FloatSOM is better	-1.0
10	moons	train_time	train	0	10	0	0.0	0.1686116848140955	-731.1551417167068	-730.676051475525	-733.0006144213296	-727.7656285580447	0.001953125	10	positive means FloatSOM is better	-1.0
3	olivetti_faces	train_time	train	0	10	0	0.0	0.19498240947723386	-1054.7322794138097	-1050.5264138262569	-1064.17296147267	-1034.324830068198	0.001953125	10	positive means FloatSOM is better	-1.0
11	s_curve	train_time	train	0	10	0	0.0	0.17283137771300972	-749.2016224515938	-800.7466402903373	-1011.2814139496968	-744.9960068977906	0.001953125	10	positive means FloatSOM is better	-1.0
12	swiss_roll	train_time	train	1	9	0	0.1	0.17118940479122102	-741.1605509554959	-661.2160808638886	-745.7478953273719	-339.57384513692233	0.00390625	10	positive means FloatSOM is better	-0.8
2	wine	train_time	train	0	10	0	0.0	0.17431238829158247	-1040.5014755867649	-1039.5076439101658	-1043.8579098884384	-1034.1717265909313	0.001953125	10	positive means FloatSOM is better	-1.0
	GLOBAL	train_time	train	1	139	0	0.007142857142857143	0.17151920043397698	-877.7085531470111	-775.3398241032029	-884.2881352964425	-753.572990892819	1.5888623700596635e-24	140	pooled paired samples across datasets	-0.9857142857142858
