dataset_index	dataset	metric	split	wins_floatsom	wins_xpysom	ties	win_rate_floatsom	median_delta_raw	median_pct_improvement	mean_pct_improvement	ci_low_pct	ci_high_pct	p_value	n_pairs	notes	effect_size_signed
8	blobs	quantization_error	train	10	0	0	1.0	-0.007581211626529749	5.597346459652524	6.0225540442611925	4.580618850562864	7.776478741202917	0.001953125	10	positive means FloatSOM is better	1.0
5	breast_cancer	quantization_error	train	10	0	0	1.0	-0.35218507051467896	15.745104555520445	15.847523507885029	14.531963517197752	17.508284262338734	0.001953125	10	positive means FloatSOM is better	1.0
7	california_housing	quantization_error	train	10	0	0	1.0	-0.08312252163887024	10.359082006592836	10.35130656375124	9.585402597255912	11.100747854417516	0.001953125	10	positive means FloatSOM is better	1.0
9	circles	quantization_error	train	10	0	0	1.0	-0.010122135281562791	6.173281827259496	6.329702531389987	5.152034426894269	7.526104121596983	0.001953125	10	positive means FloatSOM is better	1.0
14	covertype	quantization_error	train	10	0	0	1.0	-0.9764065742492678	30.344593662421723	30.373848604968266	28.99981280681876	31.79837741986238	0.001953125	10	positive means FloatSOM is better	1.0
4	diabetes	quantization_error	train	10	0	0	1.0	-0.25925922393798817	18.973817391277016	18.96015524597969	18.051886885607516	19.88906855370118	0.001953125	10	positive means FloatSOM is better	1.0
6	digits	quantization_error	train	10	0	0	1.0	-0.5157732963562018	11.861462272679574	11.809399560722342	11.167734078948133	12.43828740851517	0.001953125	10	positive means FloatSOM is better	1.0
1	iris	quantization_error	train	10	0	0	1.0	-0.12419166415929796	63.02096783169109	63.243946113309356	60.50127414484447	66.05645431386647	0.001953125	10	positive means FloatSOM is better	1.0
13	kddcup99	quantization_error	train	10	0	0	1.0	-0.1893391013145447	38.39810514212641	38.53520768352929	36.59481942639833	40.8759284549001	0.001953125	10	positive means FloatSOM is better	1.0
10	moons	quantization_error	train	10	0	0	1.0	-0.007006458938121754	5.053242921079963	4.967976677937687	2.9578562235510537	7.066067860193626	0.001953125	10	positive means FloatSOM is better	1.0
3	olivetti_faces	quantization_error	train	10	0	0	1.0	-7.35019016265869	21.046184123141348	21.028955657011554	19.65997567294303	22.248647024220528	0.001953125	10	positive means FloatSOM is better	1.0
11	s_curve	quantization_error	train	10	0	0	1.0	-0.03606197237968439	10.63564879569765	10.63091257640627	9.950299264441146	11.330500338407019	0.001953125	10	positive means FloatSOM is better	1.0
12	swiss_roll	quantization_error	train	10	0	0	1.0	-0.061348102986812605	20.232094774631005	20.16312497875011	18.81569887372182	21.455877557202466	0.001953125	10	positive means FloatSOM is better	1.0
2	wine	quantization_error	train	10	0	0	1.0	-0.6705718040466309	56.06421867264524	56.187520735676095	54.71853769715851	57.62458203295633	0.001953125	10	positive means FloatSOM is better	1.0
	GLOBAL	quantization_error	train	140	0	0	1.0	-0.25709351152181636	19.180968234586686	22.46086674868415	15.986542601935119	22.521762360324164	1.0114520744886418e-24	140	pooled paired samples across datasets	1.0
8	blobs	quantization_error	holdout	10	0	0	1.0	-0.006211556494235951	4.835027287174484	4.894340870563505	3.3668114317062026	6.467758477639797	0.001953125	10	positive means FloatSOM is better	1.0
5	breast_cancer	quantization_error	holdout	6	4	0	0.6	-0.003285527229309082	0.12774226621587326	0.11433180863566747	-0.6639262697997532	0.8728855075960493	0.6953125	10	positive means FloatSOM is better	0.2
7	california_housing	quantization_error	holdout	10	0	0	1.0	-0.06907501816749573	8.466662378405303	8.52346737306851	8.015537274071763	9.053779980976692	0.001953125	10	positive means FloatSOM is better	1.0
9	circles	quantization_error	holdout	10	0	0	1.0	-0.007963314652442946	4.814092142926137	4.9799669741298755	3.9275453997483085	6.1407665950034644	0.001953125	10	positive means FloatSOM is better	1.0
14	covertype	quantization_error	holdout	10	0	0	1.0	-0.9775010347366331	30.306210811127926	30.319594321760427	28.90009552949877	31.802475533312318	0.001953125	10	positive means FloatSOM is better	1.0
4	diabetes	quantization_error	holdout	6	4	0	0.6	-0.02325737476348877	1.3472702326260437	1.3763377341640992	-0.311007944403787	3.0669247454822917	0.193359375	10	positive means FloatSOM is better	0.2
