dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,5,0.002539753762998874,0.002821948625554305,1.0,2.423126770776685,1.4234309253993152,3.422822616154055,random_vs_hdsssom,Random vs HDSSOM
breast_cancer,5,7.350861168713061e-09,7.350861168713062e-08,1.0,23.475051846740804,23.089424583334544,23.860679110147064,random_vs_hdsssom,Random vs HDSSOM
circles,5,0.00023394802853982628,0.00038991338089971046,1.0,2.3909876991245995,1.860874427467039,2.92110097078216,random_vs_hdsssom,Random vs HDSSOM
digits,5,1.617255321808184e-05,4.04313830452046e-05,1.0,20.120564463509318,17.85081869781108,22.390310229207557,random_vs_hdsssom,Random vs HDSSOM
iris,5,0.00038378723223539315,0.0005482674746219902,1.0,209.69363442655762,156.9202823059648,262.46698654715044,random_vs_hdsssom,Random vs HDSSOM
moons,5,0.003991779845369102,0.003991779845369102,1.0,2.1701267519857566,1.1582841552149452,3.181969348756568,random_vs_hdsssom,Random vs HDSSOM
olivetti_faces,5,1.2171550931868677e-07,6.085775465934339e-07,1.0,42.47927803546599,41.0713903836461,43.88716568728588,random_vs_hdsssom,Random vs HDSSOM
s_curve,5,6.447555536689435e-06,2.1491851788964786e-05,1.0,3.314871388951017,3.018034293556926,3.6117084843451077,random_vs_hdsssom,Random vs HDSSOM
swiss_roll,5,0.0019301156173085878,0.002412644521635735,1.0,4.365718111989513,2.691832535000053,6.039603688978973,random_vs_hdsssom,Random vs HDSSOM
wine,5,5.2722591722507724e-05,0.00010544518344501545,1.0,73.00911919575262,61.91782389525623,84.10041449624902,random_vs_hdsssom,Random vs HDSSOM
GLOBAL_OVERALL,50,8.046534443427855e-05,,1.0,38.34424786908539,20.43410684342438,56.254388894746405,random_vs_hdsssom,Random vs HDSSOM
