mode_name	mode_label	topology	method	axis_value	gpu_count	runtime_mean_s	runtime_std_s	n_repeats	log_count	staging_mode	staging_modes	any_repeat_disk	all_repeats_disk
dimension_scaling	Dimension Scaling	rng	batch	200	8	38.8646023273468	0.4959326240724026	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	500	1	276.42052404085797	47.490463954141426	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	500	2	144.3399985631307	0.26769558167216145	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	500	3	113.22669816017151	0.3786386123451154	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	500	4	96.25066606203715	0.8263447552662054	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	500	8	59.57608222961426	0.46472154947568545	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	1000	1	658.9757990837097	67.58096308265036	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	1000	2	272.6961727142334	0.26610262540646756	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	1000	3	204.49361197153726	1.4439581703918472	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	1000	4	169.31019473075867	0.23083936117022674	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	1000	8	97.90790057182312	1.1115619986693575	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	2000	1	1531.7782565752666	80.20915678119401	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	2000	2	574.0291663805643	13.155500248051583	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	2000	3	433.1636429627736	0.5432119346065836	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	2000	4	349.61471859614056	1.0530250408325512	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	2000	8	178.6272497177124	0.6675270573428093	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	5000	3	1137.2431372801464	118.13382414056463	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	5000	4	926.7742368380228	60.68753267915515	3	0	unknown	unknown	False	False
dimension_scaling	Dimension Scaling	rng	batch	5000	8	409.9381302197774	49.66306469619499	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	8	1	41.465110063552856	0.6151903655968387	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	8	2	32.22900636990865	0.3535556412079666	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	8	3	30.768170992533367	0.7039499920873294	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	8	4	27.788726886113484	0.2007309177281461	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	8	8	20.80667471885681	0.410460333092094	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	16	1	43.85152014096578	0.45716026160686574	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	16	2	34.12950778007507	0.464369805030774	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	16	3	32.3716017405192	1.285265953036067	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	16	4	30.7897207736969	1.9576695673035895	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	16	8	21.542544921239216	0.15983239329282067	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	24	1	49.431034564971924	0.5976497846157022	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	24	2	36.92132433255514	0.2228915134165682	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	24	3	34.87166015307108	1.523540289708676	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	24	4	31.31333859761556	0.6985116044884762	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	24	8	23.517847855885822	0.5915907270635248	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	32	1	57.43274641036987	0.2636886813802537	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	32	2	42.223308404286705	0.7375405539292824	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	32	3	38.72350152333578	0.20386955898252251	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	32	4	36.0972371896108	0.7651590630287674	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	32	8	27.03214653333028	0.3734520514542915	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	48	1	111.02714761098225	0.25115508338009435	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	48	2	88.35096820195515	0.3505591548557699	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	48	3	81.16344062487285	0.3057234713625454	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	48	4	77.89421049753825	0.537928416621687	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	48	8	71.62719329198201	0.948548291586182	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	64	1	934.0053220589956	1.8740707993739198	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	64	2	896.8205916086832	0.5582922915989895	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	64	3	885.016147851944	0.7789812303369313	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	64	4	879.72203540802	2.977978756279278	3	0	unknown	unknown	False	False
grid_size_scaling	Grid-Size Scaling	rng	batch	64	8	880.8306202888489	1.5207579625456125	3	0	unknown	unknown	False	False
