dataset,n_pairs,wins_a,wins_b,ties,win_rate_a,median_delta_raw,median_pct,mean_pct,ci_low_pct,ci_high_pct,p_value,effect_size_signed,q_value,comparison_key,comparison_label
blobs,5,5,0,0,1.0,-0.0006214275956153925,0.4776817834036076,0.4776817834036076,0.3158727106642564,0.6394908561429589,0.001207087319804016,1.0,0.00603543659902008,full_vs_random,Full vs Random
breast_cancer,5,2,3,0,0.4,0.010309398174285889,-0.44519025231858783,-0.44519025231858783,-1.502811002249143,0.6124304976119674,0.3074221966827732,-0.2,0.439174566689676,full_vs_random,Full vs Random
circles,5,4,1,0,0.8,-0.0002684399485588129,0.17514405556476015,0.17514405556476015,-0.16933475560348948,0.5196228667330098,0.23090289303479056,0.6,0.4246659263484808,full_vs_random,Full vs Random
digits,5,3,2,0,0.6,-0.005507135391235174,0.13755297897901123,0.13755297897901123,-0.14996472248444412,0.42507068044246654,0.2547995558090885,0.2,0.4246659263484808,full_vs_random,Full vs Random
iris,5,1,4,0,0.2,0.0019838199019432067,-0.9085235337763145,-0.9085235337763145,-7.25122449640811,5.434177428855481,0.7111648523569772,-0.6,0.7901831692855302,full_vs_random,Full vs Random
moons,5,5,0,0,1.0,-0.0006301164627075196,0.48646600811278706,0.48646600811278706,0.17571938873657417,0.7972126274889999,0.012190962420087435,1.0,0.04063654140029145,full_vs_random,Full vs Random
olivetti_faces,5,4,1,0,0.8,0.011494255065917969,-0.0392244965641662,-0.0392244965641662,-0.9933547278250812,0.9149057346967489,0.9146263686377275,0.6,0.9146263686377274,full_vs_random,Full vs Random
s_curve,5,5,0,0,1.0,-0.001558929681777954,0.5156808332135107,0.5156808332135107,0.35482155877525207,0.6765401076517692,0.0008805721437790679,1.0,0.00603543659902008,full_vs_random,Full vs Random
swiss_roll,5,5,0,0,1.0,-0.0010097324848174828,0.42218528667482796,0.42218528667482796,0.09021437696880308,0.7541561963808529,0.024209731189278834,1.0,0.06052432797319708,full_vs_random,Full vs Random
wine,5,2,3,0,0.4,0.0075485825538635695,-0.5636075267511288,-0.5636075267511288,-2.394556977524417,1.2673419240221593,0.4409104842664089,-0.2,0.5511381053330111,full_vs_random,Full vs Random
GLOBAL_OVERALL,50,36,14,0,0.72,0.002174027413129831,0.02581651365383075,0.02581651365383075,-0.4388757372195591,0.4905087645272206,0.9115615561603561,0.44,,full_vs_random,Full vs Random
