dataset,pair_batch_mode,pair_seed,pair_split,score_a,trials_a,score_b,trials_b,delta_a_minus_b,pct_improvement_a_over_b,pct_improvement_a_over_b_baseline_ref,reference_score,pct_improvement_a_over_b_reference
blobs,full_batch,6545,all,0.1111605651676654,5,0.111618299037218,5,-0.0004577338695525984,0.4100885549241094,0.4100885549241094,0.1111605651676654,0.41177720611818636
blobs,full_batch,13693,all,0.1457187533378601,5,0.1467045694589614,5,-0.0009858161211012961,0.6719736983905363,0.6719736983905363,0.1457187533378601,0.676519733061129
blobs,full_batch,15882,all,0.1305475011467933,5,0.1311621367931366,5,-0.0006146356463432867,0.4686075275768526,0.4686075275768526,0.1305475011467933,0.47081379646797195
blobs,full_batch,30080,all,0.1239881440997123,5,0.1246133521199226,5,-0.0006252080202102939,0.501718322775412,0.501718322775412,0.1239881440997123,0.5042482285302184
blobs,full_batch,31569,all,0.130362831056118,5,0.1307865753769874,5,-0.0004237443208693903,0.3239968013903286,0.3239968013903286,0.130362831056118,0.32504995284045246
blobs,minibatch,6545,all,0.1111595258116722,5,0.1113968901336192,5,-0.00023736432194700063,0.21307984600134264,0.21307984600134264,0.1111595258116722,0.2135348457217658
blobs,minibatch,13693,all,0.1454575806856154,5,0.1470628604292869,5,-0.0016052797436715005,1.0915602613641373,1.0915602613641373,0.1454575806856154,1.1036067945754373
blobs,minibatch,15882,all,0.1305315941572188,5,0.1308663710951805,5,-0.00033477693796171715,0.2558158640451872,0.2558158640451872,0.1305315941572188,0.25647196000570943
blobs,minibatch,30080,all,0.1239267699420452,5,0.124676264822483,5,-0.0007494948804377954,0.6011528188664811,0.6011528188664811,0.1239267699420452,0.6047885221153584
blobs,minibatch,31569,all,0.1302788108587264,5,0.1308242306113243,5,-0.0005454197525979199,0.4169103460798092,0.4169103460798092,0.1302788108587264,0.41865576527972
breast_cancer,full_batch,6545,all,2.303733468055725,5,2.295678496360779,5,0.008054971694946289,-0.34964859462429126,-0.3508754256188496,2.303733468055725,-0.34964859462429126
breast_cancer,full_batch,13693,all,2.2631604075431824,5,2.256502389907837,5,0.006658017635345459,-0.29419115026730247,-0.29505918828729427,2.2631604075431824,-0.29419115026730247
breast_cancer,full_batch,15882,all,2.269862651824951,5,2.274525105953217,5,-0.004662454128265825,0.2049858282971937,0.2049858282971937,2.269862651824951,0.2054068832983022
breast_cancer,full_batch,30080,all,2.317085862159729,5,2.272949695587158,5,0.0441361665725708,-1.9048135976899874,-1.9418012927544952,2.317085862159729,-1.9048135976899874
breast_cancer,full_batch,31569,all,2.250485062599182,5,2.25312477350235,5,-0.0026397109031677246,0.11715777724393174,0.11715777724393174,2.250485062599182,0.11729519769035965
breast_cancer,minibatch,6545,all,2.296070337295532,5,2.2907819747924805,5,0.005288362503051314,-0.23032232145293544,-0.2308540298135697,2.296070337295532,-0.23032232145293544
breast_cancer,minibatch,13693,all,2.2591589093208317,5,2.256646811962128,5,0.0025120973587036133,-0.11119613358490227,-0.11131991702854793,2.2591589093208317,-0.11119613358490227
breast_cancer,minibatch,15882,all,2.274525105953217,5,2.2703883051872253,5,0.004136800765991655,-0.18187536181351527,-0.18220675100114728,2.274525105953217,-0.18187536181351527
breast_cancer,minibatch,30080,all,2.273313581943512,5,2.274465262889862,5,-0.0011516809463500977,0.050635240077784666,0.050635240077784666,2.273313581943512,0.0506608923422477
breast_cancer,minibatch,31569,all,2.25312477350235,5,2.238794863224029,5,0.014329910278320757,-0.6360016296854148,-0.64007250122437,2.25312477350235,-0.6360016296854148
circles,full_batch,6545,all,0.153415098786354,5,0.1540294811129569,5,-0.0006143823266028803,0.39887320411884364,0.39887320411884364,0.153415098786354,0.4004705739286259
circles,full_batch,13693,all,0.1537754833698272,5,0.1534002944827079,5,0.0003751888871192932,-0.2439848530451183,-0.24458159509047522,0.1537754833698272,-0.2439848530451183
circles,full_batch,15882,all,0.1537801101803779,5,0.1539674103260039,5,-0.00018730014562598485,0.1216492147457723,0.1216492147457723,0.1537801101803779,0.1217973803024912
circles,full_batch,30080,all,0.1534376367926597,5,0.1536581590771675,5,-0.00022052228450780698,0.1435148552034,0.1435148552034,0.1534376367926597,0.1437211163554342
circles,full_batch,31569,all,0.1532200276851653,5,0.1539152115583419,5,-0.0006951838731766025,0.45166677558253654,0.45166677558253654,0.1532200276851653,0.4537160602823138
circles,minibatch,6545,all,0.1533200293779373,5,0.1544715538620948,5,-0.0011515244841575067,0.7454605429719026,0.7454605429719026,0.1533200293779373,0.7510593944115243
circles,minibatch,13693,all,0.1531988605856895,5,0.1541171893477439,5,-0.0009183287620544156,0.5958639434971366,0.5958639434971366,0.1531988605856895,0.5994357650857084
circles,minibatch,15882,all,0.153711475431919,5,0.1546211466193198,5,-0.0009096711874008179,0.5883226242271024,0.5883226242271024,0.153711475431919,0.5918043430685331
circles,minibatch,30080,all,0.1531884372234344,5,0.1536347568035125,5,-0.00044631958007809724,0.29050690700731674,0.29050690700731674,0.1531884372234344,0.29135330849228114
circles,minibatch,31569,all,0.1531701013445853,5,0.1540703102946281,5,-0.0009002089500427801,0.5842845051206257,0.5842845051206257,0.1531701013445853,0.5877184529750938
digits,full_batch,6545,all,4.00213634967804,5,4.022078156471252,5,-0.019941806793212002,0.49580853522517904,0.49580853522517904,4.00213634967804,0.4982790452608208
digits,full_batch,13693,all,4.052868962287903,5,4.059506893157959,5,-0.006637930870056152,0.163515694018009,0.163515694018009,4.052868962287903,0.1637835057541299
