topology,method,sample_size,gpu_count,train_time_mean_s,train_time_std_s,n_runs
floatsom,full,1000000,4,35.235184828440346,11.39468105273295,3
floatsom,full,5000000,4,32.44736329714457,0.9126726977790572,3
floatsom,full,10000000,4,36.94527665774027,0.4477413333939353,3
floatsom,full,50000000,4,70.37850507100423,1.0189343615581061,3
floatsom,full,100000000,4,99.48166076342265,0.6541613232144788,3
floatsom,full,500000000,4,476.2171707948049,0.34147184410449144,3
floatsom,full,1000000000,4,952.1813666820526,208.15543932211315,3
floatsom,random,1000000,4,28.415769815444946,0.7162210987672251,3
floatsom,random,5000000,4,31.07982389132182,0.48611778678821405,3
floatsom,random,10000000,4,33.4306325117747,0.9660537461738606,3
floatsom,random,50000000,4,53.576400915781655,0.7094240480300442,3
floatsom,random,100000000,4,67.93132328987122,1.0622567467913433,3
floatsom,random,500000000,4,157.1207744280497,0.8822012006983646,3
floatsom,random,1000000000,4,582.7057673931122,131.73038048290633,3
xpysom,default,1000000,4,3.3749487469904125,0.7577934689270973,3
xpysom,default,5000000,4,13.490536613855511,0.11697254913820952,3
xpysom,default,10000000,4,26.321681652062882,0.7987722435562826,3
xpysom,default,50000000,4,129.76657081457475,3.448177073971187,3
xpysom,default,100000000,4,261.5409232482004,6.371372275739628,3
