dataset,n_pairs,p_value,q_value,effect_size_signed,median_pct,mean_pct,ci_low_pct,ci_high_pct,comparison_key,comparison_label
blobs,10,0.0982062295155118,0.12498974665610593,0.8,0.2864395577753119,0.2864395577753119,-0.06485933532245464,0.6377384508730783,full_vs_random,Full vs Random
breast_cancer,10,1.56860125024755e-11,7.3201391678219e-11,1.0,13.406250195735817,13.406250195735817,12.664054844131252,14.148445547340382,full_vs_random,Full vs Random
california_housing,10,6.869073608663812e-06,1.3738147217327624e-05,1.0,1.37286157322865,1.37286157322865,1.0368244195867118,1.7088987268705882,full_vs_random,Full vs Random
circles,10,0.0008614457847737617,0.001507530123354083,0.8,0.2842944770768979,0.2842944770768979,0.15273161834169258,0.41585733581210327,full_vs_random,Full vs Random
covertype,10,0.581588254347517,0.6785196300721031,0.2,0.21453035784235802,0.21453035784235802,-0.6344995245736891,1.0635602402584052,full_vs_random,Full vs Random
diabetes,10,1.5639766865307145e-11,7.3201391678219e-11,1.0,16.01908330099032,16.01908330099032,15.132528887530915,16.90563771444973,full_vs_random,Full vs Random
digits,10,1.1270937051515382e-11,7.3201391678219e-11,1.0,8.013620859487087,8.013620859487087,7.586044089037553,8.441197629936621,full_vs_random,Full vs Random
iris,10,4.281869890461901e-09,9.991029744411102e-09,1.0,71.6123351536204,71.6123351536204,64.17307770166563,79.05159260557518,full_vs_random,Full vs Random
kddcup99,10,0.8692357142274282,0.8692357142274282,0.2,0.05925009599538204,0.05925009599538204,-0.7320166758493319,0.850516867840096,full_vs_random,Full vs Random
moons,10,0.0022014487736564115,0.0034244758701321956,1.0,0.25848513978493565,0.25848513978493565,0.12030200650888856,0.39666827306098273,full_vs_random,Full vs Random
olivetti_faces,10,9.337754769820804e-11,2.614571335549825e-10,1.0,25.232596295504653,25.232596295504653,23.527409453084232,26.937783137925074,full_vs_random,Full vs Random
s_curve,10,0.0674944755954726,0.09449226583366163,0.4,0.12358343519870925,0.12358343519870925,-0.010958699602435965,0.2581255699998545,full_vs_random,Full vs Random
swiss_roll,10,0.6576131522255186,0.7081987793197893,0.2,-0.0800589205038003,-0.0800589205038003,-0.47524144122754325,0.3151236002199426,full_vs_random,Full vs Random
wine,10,3.2327758492908123e-11,1.1314715472517843e-10,1.0,42.90772277884013,42.90772277884013,40.332423105315094,45.48302245236517,full_vs_random,Full vs Random
GLOBAL_OVERALL,140,1.47412925078164e-11,,0.7571428571428571,12.836499592898345,12.836499592898345,9.38740631448135,16.28559287131534,full_vs_random,Full vs Random
